rating,content,userName,at,reviewCreatedVersion
4,"единственное сносное приложение от Vk (наравне с VK video). нравится музыка, система, лёгкий интерфейс, да и цена для оплаты подписки вполне приемлемая. в какой-то момент устала постоянно закачивать музыку в телефон и вк музыка спасает в этом плане. 4 звезды потому, что порой сильно лагает и в этом приложении можно найти не все. некоторые песни блокируются, но все понимают, что это в силу законодательства и безопасности пользователей.",wame,2026-06-20 18:57:39,8.28
5,здравствуйте разработчики vk. да я пользовался начал пользоваться приложением вк музыка недавно но я музыку слушал в вк контактах. вк и вк музыка и все ваши приложения не очень удобные! у меня уже даже свой аккаунт есть даже. и так же я могу сказать про вк видео очень оно удобно и напоминает youtube. теперь вк это у меня замена тик тока . вк видео это замета ютуба. а вк музыка это замена ютуба музыки и звука! никогда не отстану от этого приложения.♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️,Тимофей Толстов,2026-06-20 16:14:04,8.29
5,Очень хорошо мне нравиться,Милана Гармс,2026-06-20 14:56:41,8.28
5,лучшие спасибо,Март,2026-06-20 13:56:33,8.29
1,Я конечно все понимаю но отменять подписку когда ещё пол месяца есть это перебор,Leila,2026-06-20 12:51:13,8.29
1,"как и все ВКашное какашное. Авторизацию потребовал. после попросил ввести цифры с картинки. и при этом сказал что версия старая нужно обновить. при этом обновление не предлагает. через полгода попробовал повторно регнуться. ничего не изменилось... создаю аккаунт просит пароль, создаю пароль он говорит неверный..!? Страна Создавшая только одну программу МАХ. Похоже ей и будет пользоваться.",Ваня Мирный,2026-06-20 11:46:30,7.12
5,Все норм,Сергей Честин,2026-06-20 10:51:27,
2,"приложение отличное, сделано хорошо, постарались. Единственная причина почему не пять звёзд это. 1 постоянная реклама, не каждый раз, но часто. 2 Просто конская цена подписки-200₽.Это лично для меня много с моей зарплатой. И у РАЗРАБОТЧИКОВ хвало не треснит от того го , каждый месяц по двести рублей!",Андрей Сыресин,2026-06-20 06:24:44,8.28
1,"Пользусь музыкой от ВК года с 2016, все устраивало, но, в связи с событиями которые происходят, она перестала работать через ВПН, жаль покидать площадку, достаточно удобной была",BOGDAN505,2026-06-20 05:31:17,8.29
5,"приложение очень хорошее, мне нравится то что есть все песни, а то в некоторых музыкальных приложениях этого просто нет, но минус в том что я поменяла телефон, и ко мне перестал приходить код подтверждения чтобы сделать свой аккаунт снова, а так я очень рада приложению",Jasmine,2026-06-20 03:45:47,8.28
3,Приложение хорошее но... начну с минусов почему эта ужасная подписка есть вообще?! только выходишь из приложения музыка выключается 🤬 короче всё имба только уберите эту подписку 😤 а так-то норм.,Manin Miroslav,2026-06-20 02:23:51,8.27
5,очень много музыки и много плейлистов которые очень нравятся многим + вайб песен +респект,Кристина,2026-06-20 02:19:12,8.28
5,а тут есть возможность поставить песни на рингтон?,Алексей,2026-06-20 02:08:20,7.12
2,"1) постоянные проблемы с эквалайзером. когда хочешь добавит низких частот, бывает такое что эквалайзер просто начинает пердеть и вурчать на басах. частая проблема что он иногда вообще не включается на некоторых песнях , также проблема что высвечивается надпись ""в данный момент эквалайзер не доступен на вашем устройстве"" 2) Почти при каждом перезаходе в приложение вылетает из аккаунта и приходится входить снова. 3) реклама каждые 5 треков, перебор. Вообщем очень много багов. не советую!",Даниил,2026-06-20 02:01:09,8.29
5,самое лучшие предложения в моей жизни!!!!,Вера,2026-06-20 01:51:23,8.29
5,"Большое спасибо, всё починили. музыку скачала, без интернета можно слушать, теперь поеду на море с любимой музыкой.",Юлия,2026-06-20 01:31:38,
3,короче приложение классное но то что надо выключать впн очень надоел я потом как зашёл в музыку на 30-60 мин я иду в ютуб но иза приложения мне приходится его включать опять а там лимит на подключение,Вова Глебанов,2026-06-20 01:11:57,8.29
5,лучшее приложение. мне кажется понятно почему😁,Anastasia Totskaya,2026-06-20 00:47:30,8.28
1,"200 рублей в месяц подписка, сохраненная музыка не работает без интернета, я думал сохраненная она на то и сохраненная чтобы без интернета работать, пишет нет интернета перейдите в скачанное, перешёл треки не включаются, пока интернет не появится",Дмитрий Миррор,2026-06-20 00:46:59,
2,"Уже писал о недостатках и возможных улучшения около года назад (предлагал ввести функцию добавления трека сразу в несколько плейлистов сразу, а не каждый трек руками отдельно в каждый плейлист раскладывать и т.д.) что по итогу? Композиции вообще перестали добавляться в 50% плейлистов. И не понятно с чем это связанно. Хорошая работа.",Н. Исмаилов,2026-06-19 22:24:11,8.28
4,"Приложение хорошо работает, жаль что слушать музыку выходя из приложения можно только платно, единственная по мне настоящая проблема что нельзя писать сообщения. Бывает что прям хочется поделиться мыслями о песне или почитать другие коментарии, но этого сделать нельзя. Я бы очень хотела чтобы это исправили и можно было писать комментарии.",София Кузьмина,2026-06-19 20:15:34,8.29
5,все прекрасно,Елизавета Данилова,2026-06-19 17:56:07,8.28
5,идеальное приложение,Таисия Черанёва,2026-06-19 17:51:11,8.25
5,Приложение удобное.,Micha,2026-06-19 16:34:19,8.28
1,"не работает приложение, каждый раз приходится перезаходить по 15 раз из за того, что выдаётся ошибка о не работающим интернете ( хотя интернет работает отлично ). вот не понятно за что плачу деньги",Дима Волков,2026-06-19 16:02:39,8.29
2,я скачал песни чтобы слушать без интернета почему когда я слушаю свой плейлист вместо моей песни выходит другая почему так? или так и должно быть,Амир Аношин,2026-06-19 15:59:47,
4,так всё хорошо но бесит реклама,Ангелина Кривошеева,2026-06-19 14:45:28,8.29
4,приложение неплохое. сделайте пожалуйста возможность удалять по несколько треков сразу,Савелий,2026-06-19 13:51:58,8.28
1,"При хорошей сети, пишет, что, что-то не так с интернетом, хотя с интернетом все супер, песни еле прогружает.",Jason Brodi,2026-06-19 12:21:12,8.29
1,ужасно,Арина,2026-06-19 12:13:45,8.29
5,все круто 😎,Елена Романюк,2026-06-19 10:28:01,8.29
5,"Господа, а у вас нет приложения для андроид тв что-ли?",Евжений,2026-06-19 05:42:38,8.23
3,сделайте перемешивание между плейлистами и альбомами и lite version где просто моя музыка и ничего лишнего,антон аминин,2026-06-19 04:07:59,8.28
5,имба,Даниил,2026-06-19 04:00:40,8.29
3,Я хз у меня на телефоне норм все работает а когда я на планшет захожу то пишет что нет интернета и все,Полина Литвинова,2026-06-19 03:46:38,8.28
5,прикольное приложение,Венера Мингалиева,2026-06-19 03:31:24,
5,помогает успокоится от проблем хоть на 3-4 часа,Ginger,2026-06-19 02:21:56,8.28
5,приложение шикарное купил подписку всё ещё лучше но почему приложение толком не учитывает мои вкусы до сих пор понять не могу.,Maks “The darkness of the soul”,2026-06-18 23:33:24,8.27
1,"Если бы можно было ставить 0 звезд, я бы поставила. Оплаченное приложение не грузится на мобильном интернете. Вот всё грузится отлично, то VK как обычно ""лучше всех"". Поддержка не работает. Как вы умудряетесь так плохо работать?",Elena,2026-06-18 23:32:04,8.29
1,Тупить не грузит,Eva Evocka,2026-06-18 23:05:38,8.29
5,так всё отлично токо бесит что надо сначала заплотить чтоб слушать с выключенным телефоном,Сема Ромашка,2026-06-18 22:03:46,8.29
5,мне всё нравится,Ульяна Хасанова,2026-06-18 20:52:51,8.23
5,"как по мне, приложение хорошее если ты или с деньгами или с безлимитным интернетом. Ну а если правда, то приложение очень хорошее, с него часто слушаю музыку. Разрабы, можете добавить такую функцию , чтобы можно было найти похожие по звучанию альбомы? ну как вк микс только для альбомов. Заранее спасибо если предложенная функция всë таки появится в приложении(спасибо, что добавили такую функцию)",Dontstopixo,2026-06-18 20:15:30,
5,приложение хорошее много музыки и хорошо работает проблем у меня с приложением не было,Артем Домаскин,2026-06-18 20:14:05,8.26
3,всë норм но вот в вк книги проблемы с загрузкой книг оно зависает и не работает,Jionhoni Safarali,2026-06-18 19:53:50,8.28
2,"приложение сошло с ума, больше 1к треков ПОАРЕЖДЕНО И ИХ НУЖНО СКАЧАТЬ ЗАНОВО, я сейчас сойду с ума, ладно вы зачем-то поменяли способ хранения ауоди-файлов из-за которой у меня постоянно требуется подгруза списка треков в режиме Скачано и я с этим смириласт Но вы решили что этого мало, приложение вывернулось на изнанку и просто разбило весь Скачаный плейлист на нескачанные файлы + пара загруженных, то есть нужно полностью удалять все сейвы и качать все заново.",Izuma Miamoto,2026-06-18 19:48:04,8.29
4,"Приложение крутое, но слишком часто вылазит реклама о подписке, хотя музыка у меня играет даже офлайн, хотя у меня её нет и сколько бы я не нажимала ""вижу слишком часто"" начинает вылетать (реклама) ЕЩЁ ЧАЩЕ",Hhh,2026-06-18 19:31:00,8.28
4,"Отличное приложение для музыки! Но иногда глючит, тормозит.",Владислав,2026-06-18 18:41:59,8.29
1,"не работает сохранение музыки. то вообще не может скачать плейлист, то скачивает, а потом стирает (будто не скачивал)",Peotr Zagubisalo,2026-06-18 16:27:34,8.29
4,Почему я не могу оформить подписку?,Владимир Литвинов,2026-06-18 16:07:33,8.28
1,"Теперь и вк музыка замедлена, да?) У меня при стабильном интернете, без выключенных впнов, с прекрасно работающим вк мессенджером вк музыка абсолютно ничего не грузит А смысл?)",Змей Горыныч,2026-06-18 16:03:51,8.28
5,вау мне так понравилось🤩,Карина,2026-06-18 15:37:13,8.29
5,мне очень нравится,Елин Евгении,2026-06-18 14:37:53,8.28
5,очень классное приложение🍓🌈🌸 всëх с днем лета 🍒,Aлена Алюсова,2026-06-18 14:18:52,8.29
1,"если хотите послушать музыку, приготовьтесь, ждать пока прогрузится приложение, ждать пока запуститься музыка, ждать пока приложение решить сохранять музыку или нет и тд. по идее у пользователя должна быть возможность слушать музыку при отключении интернета, НО, приложение не открывается ТК нет интернета!!!! за что вы снимаете ежемесячно плату???",Регина Валеева,2026-06-18 12:57:56,8.29
1,ужасное приложении хочешь скачать музыку плати хочешь слушать без перерывов чтобы постоянно не включать платье ужасное приложение реклама мешала,Катя,2026-06-18 12:30:47,8.29
1,"Очень сильно тормозит. Песни, которые скаченые, всё равно прогружает перед проигрыванием. Если нет сети, то в скаченые переходит через раз, приходится по нескольку раз сбрасывать приложение. Очень расстроена, было такое хорошее приложение. Придется переходить на другие музыкальные сервисы.",Svetlana Zav,2026-06-18 11:43:52,7.12
5,"после обнлвления работает отвратительно, чтобы попасть в скачанное без интернета уже доедешь бвстрее куда ехал",Kseniia Barankova,2026-06-18 04:13:06,8.29
3,меня не устраивает то что когда выключаешь телефон музыка выключается плюс к этому там ещё и есть реклама,Ярослав,2026-06-18 03:43:27,8.29
5,Приложение отпад🎉,Анна Павлова,2026-06-18 03:40:15,8.28
4,"Возникали сложности при подключении подписки, но все получилось. Единственное не даёт настроить вк микс выдавая ошибку, а так приложение хорошее",Ксения Ефигина,2026-06-18 02:01:41,8.29
5,Приложение топ❤️,Танзиро Комадо,2026-06-18 01:55:35,8.29
1,непонятная сложная помойка.,S K,2026-06-18 01:37:23,
1,не работает с впн,Илья Васильев,2026-06-17 23:51:45,8.28
1,"Больше месяца в приложении не работает переключение музыки, она практически не ставится на паузу, а если ставится, то уже совсем не включается обратно.",Сава Мурзыева,2026-06-17 23:16:48,8.28
5,"Нравится всё,недочёты необнаружены",Kersanov Aleksei,2026-06-17 23:01:09,8.29
4,"все хорошо, но уже 3 или 4 день попеременно не работает то на вай-фай, то на мобильной сети.",Sania :3,2026-06-17 21:03:49,8.29
5,Отличное приложение советую,Виолетта Казачек,2026-06-17 20:26:22,8.29
5,"Я считаю, что это лучшее приложение для прослушивания музыки. Всем советую.👍",GGgg,2026-06-17 18:24:46,8.29
1,"Всё испортили, теперь если нету интернета, то невозможно зайти в приложение. Ещё и тупит до невозможности, с плейлистами что-то наделали. Отключаю подписку и всё что с этим связано, ну как так можно было, столько лет всё было прекрасно и идеально.",Николай сартаков,2026-06-17 17:52:31,8.29
5,было бы лучше если еще и на улице можно было,Полинка Белоусова,2026-06-17 16:11:36,8.29
5,"отличное приложение для прослушывания музыки , всем советую",Руслан Баймурзаев,2026-06-17 15:56:20,8.29
2,"если открыть ранее скачанный плейлист, то нужен интернет, зачем? он же уже скачан",Руслан Следь,2026-06-17 15:33:20,8.29
1,не понятно,Виктория Ооржак,2026-06-17 14:29:48,8.28
1,Постоянно висящее приложение. Какие-то бесконечные сбои и ошибки. Самая частая ошибка - отсутствует подключение к сети. И это на домашнем интернете. Про мобильный вообще молчу. Платная подписка проблему не решает.,Татьяна Волкова,2026-06-17 13:53:29,8.29
1,идите подальше с рекламой,Дэниэл Ермачков,2026-06-17 13:24:13,
2,"Ишаки, уберите плашку с концертами или переносите куда-нибудь",Vladislav,2026-06-17 11:50:31,8.28
5,"Все отлично, есть вся музыка но минус есть это реклама но я уже привык",Сергей Перелыгин,2026-06-17 10:47:46,8.29
5,Всё просто ! Всё супер!,Иван Светлов,2026-06-17 08:31:54,8.29
5,прикольное приложение,Татьяна Александровна Швец,2026-06-17 07:01:21,
5,ништяк бро,Waaqo Pp,2026-06-17 06:39:04,8.29
5,"все отлично но можете добавить функцию где при добавление одинаковых песен в один плейлист, выскакивает предупреждение о том, что песня уже есть в плейлисте как в ютуб мьюзик🙏🏻 а так все отлично",Марьям Дениева,2026-06-17 05:23:38,8.26
5,"визуал приложения сделан крайне посредственно (не дизайн, а его реализация, человеком, который по глупому недоразумению называет себя программистом). по сравнению с немногочисленными конкурентами, не показывает фуллскрин рекламу (пока) при открытии и не превращает приложение для прослушивания музыки в ещё один канал продаж для билетов (пока). за счет пользовательского контента имеет самую обширную медиатеку, что для меня ключевой момент. в общем, приложение со своей целью справляется, спасибо.",серёжа,2026-06-17 04:00:13,8.29
4,Приложение хорошее но есть один минус:Всё время реклама идёт и выскакивает премиум подписка,Азиз Жуманиёзов,2026-06-17 03:51:26,
5,"всё устраивает, но я не могу оплатить подписку, живу в Казахстане, пишет ""покупка временно недоступна"".",Рома Леонтьев,2026-06-17 00:46:21,8.21
2,все хорошо но можете вернуть деньги я отменял покупку а приложение списала,Сергей Крылов,2026-06-17 00:11:27,
5,"приложение отпад, музыки много, достаточно вбить в поиск то что нужно и сразу найдешь, и по миксу можно найти классную музыку, еще круто что рекламы стало в разы меньше чем тогда, приложение бомба, советую😋😋",Быра607,2026-06-17 00:00:58,8.29
1,"треки не грузятся, смысл подписки,если невозможно слушать музыку?",Bel,2026-06-16 23:46:00,8.29
1,"накачал кучу музыки для поездки на дачу, где нет интернета. но приложение почему-то ПРИ КАЖДОМ его открытии РЕШАЕТ ПРОВЕРИТЬ ПОДКЛЮЧЕНИЕ к ВК айди, и не пускает дальше, если ты не законнектишься. ужас и мучение. не советую. проще в свою личку в тг насохранять музыки.",Brigmore,2026-06-16 23:44:29,8.21
5,всё супер,Слава,2026-06-16 23:21:32,
2,Из-за того что нужна подписка на скачивание музыки поставил 2 балла и думаю если бы не было подписки на это пришлось ещё больше людей,Максим,2026-06-16 22:42:19,8.29
1,"скачала мызыку что бы слушать без интернета, итог выдаёт ошибку ,просит интернет ну как бы ало я вам за это плачу так какого вообще вы деньги берете а услугу не предоставляете .....",Валерия,2026-06-16 20:48:54,8.28
1,"Навайбкодили ужасное приложение. Сотрудники от менеджеров до тестировщиков в команде ВК музыки не заслуживают получать зарплату и сырки в офисе. Выкатывают в прод мусор, который вылетает бесконечно. Иногда просто выкидывает без возможности зайти, т.к. превышено количество попыток) Направить отзыв о работе просто невозможно, ибо бросает на бота, который не позволяет в свободной форме дать фидбек, а только кидает с темы на тему. Я пользуюсь ещё с бума, но с каждой фичей все хуже(",Александр Плейбойлилсанович,2026-06-16 19:19:54,8.29
1,"Будьте осторожны с подписками ВК. Сняли деньги за продление подписки Музыки,при этом отключили саму подписку и не возвращают деньги. Обращение в поддержку игнорируют. Лучше найти другое приложение,никому не посоветую",Анастасия,2026-06-16 18:35:11,
3,Всё нормально но я немог сначала обновить приложение а потом не могу сказачать разберитесь пожалуйста,Дима Пряхин,2026-06-16 17:38:19,8.7
1,не могу понять как зарегистрироваться,дима харьковский,2026-06-16 16:30:01,
1,плохо!!!,Надежда Москвитина,2026-06-16 15:59:26,
